,Unnamed: 0,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
1049,70,Terry Davis,1990,2001,F-C,6-9,225.0,"June 17, 1967",Virginia Union University
1050,71,Tyler Davis,2019,2019,C,6-10,266.0,"May 22, 1997",Texas A&M
1051,72,Walt Davis,1954,1958,C-F,6-8,205.0,"January 5, 1931",Texas A&M
1052,73,Walter Davis,1978,1992,G-F,6-6,193.0,"September 9, 1954",UNC
1053,74,Warren Davis,1968,1973,F-C,6-6,212.0,"June 30, 1943",North Carolina A&T
1054,75,Willie Davis,1971,1971,C,6-8,234.0,"August 9, 1945",University of North Texas
1055,76,JD Davison,2023,2023,G,6-3,195.0,"October 3, 2002",Alabama
1056,77,Andre Dawkins,2015,2015,G,6-5,215.0,"September 19, 1991",Duke
1057,78,Darryl Dawkins,1976,1989,C,6-11,251.0,"January 11, 1957",
1058,79,Johnny Dawkins,1987,1995,G,6-2,165.0,"September 28, 1963",Duke
1059,80,Paul Dawkins,1980,1980,F,6-5,190.0,"June 10, 1957",Northern Illinois
1060,81,Branden Dawson,2016,2016,F,6-6,225.0,"February 1, 1993",Michigan State
1061,82,Eric Dawson,2012,2012,F,6-9,250.0,"July 7, 1984",Midwestern State University
1062,83,Jimmy Dawson,1968,1968,G,6-0,175.0,"April 18, 1945",Illinois
1063,84,Tony Dawson,1991,1995,F,6-7,215.0,"August 25, 1967",Florida State
1064,85,Todd Day,1993,2001,G-F,6-6,188.0,"January 7, 1970",Arkansas
1065,86,Austin Daye,2010,2015,F,6-11,220.0,"June 5, 1988",Gonzaga
1066,87,Darren Daye,1984,1988,F-G,6-8,220.0,"November 30, 1960",UCLA
1067,88,Darius Days,2023,2023,F,6-7,245.0,"October 20, 1999",LSU
1068,89,Nando De Colo,2013,2014,G,6-5,200.0,"June 23, 1987",
1069,90,Billy DeAngelis,1971,1971,G,6-1,180.0,"October 5, 1946",Saint Joseph's
1070,91,Dave DeBusschere*,1963,1974,F-G,6-6,220.0,"October 16, 1940",Detroit Mercy
1071,92,Andrew DeClercq,1996,2005,F-C,6-10,230.0,"February 1, 1973",Florida
1072,93,Javin DeLaurier,2022,2022,F,6-10,237.0,"April 7, 1998",Duke
1073,94,Nate DeLong,1952,1952,C,6-6,220.0,"January 5, 1926",Wisconsin-River Falls
1074,95,Joe DePre,1971,1973,G,6-3,185.0,"December 19, 1947",St. John's
1075,96,DeMar DeRozan,2010,2023,G-F,6-6,220.0,"August 7, 1989",USC
1076,97,Hank DeZonie,1951,1951,C-F,6-6,215.0,"February 12, 1922",Clark Atlanta University
1077,98,Greg Deane,1980,1980,G,6-4,190.0,"December 6, 1957",Utah
1078,99,Gabriel Deck,2021,2022,F,6-8,232.0,"February 8, 1995",
1079,100,Dewayne Dedmon,2014,2023,C,7-0,245.0,"August 12, 1989",USC
1080,101,Don Dee,1969,1969,F,6-8,210.0,"August 9, 1943","Saint Louis, Saint Mary of the Plains College"
1081,102,Archie Dees,1959,1962,F-C,6-8,205.0,"February 22, 1936",Indiana
1082,103,Terry Dehere,1994,1999,G,6-2,190.0,"September 12, 1971",Seton Hall
1083,104,Red Dehnert,1947,1947,F,6-3,175.0,"January 24, 1924",Columbia University
1084,105,Bryce Dejean-Jones,2016,2016,G,6-6,209.0,"August 21, 1992","USC, UNLV, Iowa State"
1085,106,Sam Dekker,2016,2022,F,6-9,230.0,"May 6, 1994",Wisconsin
1086,107,Vinny Del Negro,1989,2002,G,6-4,185.0,"August 9, 1966",NC State
1087,108,Malcolm Delaney,2017,2018,G,6-3,190.0,"March 11, 1989",Virginia Tech
1088,109,Bison Dele,1992,1999,F-C,6-9,235.0,"April 6, 1969","Maryland, Arizona"
1089,110,Carlos Delfino,2005,2013,G,6-6,230.0,"August 29, 1982",
1090,111,Ángel Delgado,2019,2019,C,6-10,245.0,"November 20, 1994",Seton Hall
1091,112,Tony Delk,1997,2006,G,6-1,189.0,"January 28, 1974",Kentucky
1092,113,Matthew Dellavedova,2014,2023,G,6-3,200.0,"September 8, 1990",Saint Mary's
1093,114,Fennis Dembo,1989,1989,F,6-5,215.0,"January 24, 1966",Wyoming
1094,115,Larry Demic,1980,1982,F-C,6-9,225.0,"June 27, 1957",Arizona
1095,116,Dell Demps,1994,1997,G,6-3,205.0,"February 12, 1970",University of the Pacific
1096,117,George Dempsey,1955,1959,G,6-2,190.0,"July 19, 1929",King's College
1097,118,Luol Deng,2005,2019,F,6-9,237.0,"April 16, 1985",Duke
1098,119,Kenny Dennard,1982,1984,F,6-8,220.0,"October 18, 1958",Duke
1099,120,Blaine Denning,1953,1953,G,6-2,175.0,"September 19, 1930",Lawrence Technological University
1100,121,Justin Dentmon,2012,2013,G,5-11,185.0,"September 5, 1985",Washington
1101,122,Randy Denton,1972,1977,C,6-10,240.0,"February 18, 1949",Duke
1102,123,Rod Derline,1975,1976,G,6-0,175.0,"March 11, 1952",Seattle University
1103,124,Marcus Derrickson,2019,2019,F,6-7,249.0,"February 1, 1996",Georgetown
1104,125,Dave Deutsch,1967,1967,G,6-1,170.0,"May 13, 1945",University of Rochester
1105,126,Corky Devlin,1956,1958,G,6-5,195.0,"December 21, 1931",George Washington
1106,127,Ernie DiGregorio,1974,1978,G,6-0,180.0,"January 15, 1951",Providence
1107,128,Donte DiVincenzo,2019,2023,G,6-4,203.0,"January 31, 1997",Villanova
1108,129,Moussa Diabaté,2023,2023,F,6-11,210.0,"January 21, 2002",Michigan
1109,130,Mamadi Diakite,2021,2023,F,6-9,228.0,"January 21, 1997",Virginia
1110,131,Derrick Dial,2000,2004,G,6-4,184.0,"December 20, 1975",Eastern Michigan
1111,132,Cheick Diallo,2017,2022,F,6-8,219.0,"September 13, 1996",Kansas
1112,133,Hamidou Diallo,2019,2023,G,6-5,202.0,"July 31, 1998",Kentucky
1113,134,Boris Diaw,2004,2017,F-C,6-8,250.0,"April 16, 1982",
1114,135,Yakhouba Diawara,2007,2010,G-F,6-7,225.0,"August 29, 1982",Pepperdine
1115,136,Guillermo Díaz,2008,2008,G,6-2,192.0,"March 4, 1985",Miami (FL)
1116,137,Dan Dickau,2003,2008,G,6-0,190.0,"September 16, 1978","Washington, Gonzaga"
1117,138,Kaniel Dickens,2004,2008,F,6-8,215.0,"July 21, 1978","Tyler Junior College, Idaho"
1118,139,Henry Dickerson,1976,1977,G,6-4,190.0,"November 27, 1951",University of Charleston
1119,140,Michael Dickerson,1999,2003,G-F,6-5,190.0,"June 25, 1975",Arizona
1120,141,Clyde Dickey,1975,1975,G,6-3,185.0,"December 14, 1951","Cochise Community College, Boise State"
1121,142,Derrek Dickey,1974,1978,F,6-7,218.0,"March 20, 1951",Cincinnati
1122,143,Dick Dickey,1952,1952,G,6-1,175.0,"October 26, 1926",NC State
1123,144,John Dickson,1968,1968,C,6-10,240.0,"November 18, 1945",Arkansas State University
1124,145,Travis Diener,2006,2010,G,6-1,175.0,"March 1, 1982",Marquette
1125,146,Gorgui Dieng,2014,2023,C,6-10,252.0,"January 18, 1990",Louisville
1126,147,Ousmane Dieng,2023,2023,F,6-10,216.0,"May 21, 2003",
1127,148,Connie Dierking,1959,1971,C-F,6-9,222.0,"October 2, 1936",Cincinnati
1128,149,Coby Dietrick,1971,1983,C-F,6-10,220.0,"July 23, 1948",San Jose State
1129,150,Craig Dill,1968,1968,C,6-11,215.0,"December 17, 1944",Michigan
1130,151,Dwaine Dillard,1976,1976,F,6-6,230.0,"March 9, 1949",Eastern Michigan
1131,152,Mickey Dillard,1982,1982,G,6-3,170.0,"October 15, 1958",Florida State
1132,153,Bob Dille,1947,1947,F,6-3,190.0,"July 2, 1917",Valparaiso
1133,154,Hook Dillon,1950,1950,F,6-3,180.0,"January 8, 1924",UNC
1134,155,Byron Dinkins,1990,1991,G,6-1,170.0,"June 15, 1967",UNC Charlotte
1135,156,Jackie Dinkins,1972,1972,F,6-5,210.0,"January 22, 1950",Voorhees College
1136,157,Harry Dinnel,1968,1968,F-G,6-4,200.0,"October 9, 1940",Pepperdine
1137,158,Bill Dinwiddie,1968,1972,F,6-7,220.0,"July 15, 1943",New Mexico Highlands University
1138,159,Spencer Dinwiddie,2015,2023,G,6-5,215.0,"April 6, 1993",Colorado
1139,160,Ike Diogu,2006,2012,F,6-8,250.0,"September 11, 1983",Arizona State
1140,161,DeSagana Diop,2002,2013,C,7-0,300.0,"January 30, 1982",
1141,162,Terry Dischinger,1963,1973,F-G,6-7,189.0,"November 21, 1940",Purdue
1142,163,Fred Diute,1955,1955,G,6-3,210.0,"January 9, 1929",St. Bonaventure
1143,164,Vlade Divac*,1990,2005,C,7-1,243.0,"February 3, 1968",
1144,165,Juan Dixon,2003,2009,G,6-3,164.0,"October 9, 1978",Maryland
1145,166,Earl Dodd,1950,1950,F,6-5,175.0,"November 1, 1924",Truman State University
1146,167,Michael Doleac,1999,2008,C,6-11,262.0,"June 15, 1977",Utah
1147,168,Joe Dolhon,1950,1951,G,6-0,175.0,"July 9, 1927",NYU
1148,169,Bob Doll,1947,1950,F-C,6-5,195.0,"August 10, 1919",Colorado
1149,170,James Donaldson,1981,1995,C,7-2,275.0,"August 16, 1957",Washington State
1150,171,Luka Dončić,2019,2023,G-F,6-7,230.0,"February 28, 1999",
1151,172,Bob Donham,1951,1954,G-F,6-2,190.0,"October 11, 1926",Ohio State
1152,173,Billy Donovan,1988,1988,G,5-11,171.0,"May 30, 1965",Providence
1153,174,Harry Donovan,1950,1950,G,6-2,180.0,"September 10, 1926",Muhlenberg College
1154,175,Keyon Dooling,2001,2013,G,6-3,196.0,"May 8, 1980",Missouri
1155,176,Aleksandar Djordjevic,1997,1997,G,6-2,198.0,"August 26, 1967",
1156,177,Jacky Dorsey,1978,1981,F,6-7,230.0,"December 18, 1954",Georgia
1157,178,Joey Dorsey,2009,2015,F,6-8,268.0,"December 16, 1983",Memphis
1158,179,Ron Dorsey,1972,1972,F,6-4,200.0,"October 10, 1948",Tennessee State
1159,180,Tyler Dorsey,2018,2023,G,6-5,183.0,"February 18, 1996",Oregon
1160,181,Luguentz Dort,2020,2023,G,6-3,215.0,"April 19, 1999",Arizona State
1161,182,Ayo Dosunmu,2022,2023,G,6-5,200.0,"January 17, 2000",Illinois
1162,183,Damyean Dotson,2018,2022,G,6-5,210.0,"May 6, 1994","Oregon, Houston"
1163,184,Devon Dotson,2021,2023,G,6-2,185.0,"August 2, 1999",Kansas
1164,185,Quincy Douby,2007,2009,G,6-3,175.0,"May 16, 1984",Rutgers University
1165,186,Bruce Douglas,1987,1987,G,6-3,195.0,"April 9, 1964",Illinois
1166,187,John Douglas,1982,1983,G,6-2,170.0,"June 12, 1956",Kansas
1167,188,Leon Douglas,1977,1983,C-F,6-10,230.0,"August 26, 1954",Alabama
1168,189,Sherman Douglas,1990,2001,G,6-0,180.0,"September 15, 1966",Syracuse
1169,190,Toney Douglas,2010,2017,G,6-2,195.0,"March 16, 1986","Auburn, Florida State"
1170,191,Chris Douglas-Roberts,2009,2015,G,6-7,200.0,"January 8, 1987",Memphis
1171,192,Sekou Doumbouya,2020,2022,F,6-8,230.0,"December 23, 2000",
1172,193,Sonny Dove,1968,1972,F,6-7,198.0,"August 16, 1945",St. John's
1173,194,Jerry Dover,1972,1972,G,5-7,155.0,"October 16, 1949",LeMoyne-Owen College
1174,195,Zabian Dowdell,2011,2011,G,6-3,191.0,"September 10, 1984",Virginia Tech
1175,196,Bill Downey,1948,1948,C,6-6,210.0,"November 11, 1923",Marquette
1176,197,Steve Downing,1974,1975,C,6-8,225.0,"September 9, 1950",Indiana
1177,198,Jeff Dowtin,2022,2023,G,6-3,185.0,"May 10, 1997",Rhode Island
1178,199,Danny Doyle,1963,1963,F,6-8,200.0,"February 6, 1940",Belmont Abbey College
1179,200,Milton Doyle,2018,2018,G,6-4,185.0,"October 31, 1993",Loyola Chicago
1180,201,PJ Dozier,2018,2023,G,6-6,205.0,"October 25, 1996",South Carolina
1181,202,Terry Dozier,1990,1990,F,6-9,210.0,"June 29, 1966",South Carolina
1182,203,Goran Dragić,2009,2023,G,6-3,190.0,"May 6, 1986",
1183,204,Zoran Dragić,2015,2015,G-F,6-5,200.0,"June 22, 1989",
1184,205,Greg Dreiling,1987,1997,C,7-1,250.0,"November 7, 1962","Wichita State, Kansas"
1185,206,Bryce Drew,1999,2004,G,6-2,185.0,"September 21, 1974",Valparaiso
1186,207,John Drew,1975,1985,F-G,6-6,205.0,"September 30, 1954",Gardner-Webb University
1187,208,Larry Drew,1981,1991,G,6-1,170.0,"April 2, 1958",Missouri
1188,209,Larry Drew II,2015,2018,G,6-2,180.0,"March 5, 1990","UNC, UCLA"
1189,210,Clyde Drexler*,1984,1998,G,6-7,210.0,"June 22, 1962",Houston
1190,211,Nate Driggers,1997,1997,G,6-5,215.0,"October 12, 1973",University of Montevallo
1191,212,Terry Driscoll,1971,1975,F,6-7,215.0,"August 28, 1947",Boston College
1192,213,Predrag Drobnjak,2002,2005,C,6-11,270.0,"October 27, 1975",
1193,214,Ralph Drollinger,1981,1981,C,7-2,250.0,"April 20, 1954",UCLA
1194,215,Andre Drummond,2013,2023,C,6-10,279.0,"August 10, 1993",UConn
1195,216,Dennis DuVal,1975,1976,G,6-3,175.0,"March 31, 1952",Syracuse
1196,217,Chris Duarte,2022,2023,G,6-6,190.0,"June 13, 1997",Oregon
1197,218,Dick Duckett,1958,1958,G,6-1,185.0,"March 25, 1933",St. John's
1198,219,Kevin Duckworth,1987,1997,C,7-0,275.0,"April 1, 1964",Eastern Illinois University
1199,220,Charles Dudley,1973,1979,G,6-2,180.0,"March 5, 1950",Washington
1200,221,Chris Dudley,1988,2003,C,6-11,235.0,"February 22, 1965",Yale
1201,222,Jared Dudley,2008,2021,F-G,6-6,237.0,"July 10, 1985",Boston College
1202,223,Terry Duerod,1980,1983,G,6-2,180.0,"July 29, 1956",Detroit Mercy
1203,224,Bob Duffy,1947,1947,F,6-4,175.0,"July 5, 1922",Tulane
1204,225,Bob Duffy,1963,1965,G,6-3,185.0,"September 26, 1940",Colgate
1205,226,Chris Duhon,2005,2013,G,6-1,185.0,"August 31, 1982",Duke
1206,227,Duje Dukan,2016,2016,F,6-9,220.0,"December 4, 1991",Wisconsin
1207,228,David Duke Jr.,2022,2023,G,6-5,205.0,"October 13, 1999",Providence
1208,229,Walter Dukes,1956,1963,C,7-0,220.0,"June 23, 1930",Seton Hall
1209,230,Joe Dumars*,1986,1999,G,6-3,190.0,"May 24, 1963",McNeese State University
1210,231,Rich Dumas,1969,1969,G,6-3,170.0,"April 21, 1944",Northeastern State University
1211,232,Richard Dumas,1993,1996,F,6-7,200.0,"May 19, 1969",Oklahoma State
1212,233,Tony Dumas,1995,1998,G,6-6,190.0,"August 25, 1972",Missouri-Kansas City
1213,234,Andy Duncan,1949,1951,F-C,6-6,195.0,"April 17, 1922",William & Mary
1214,235,Tim Duncan*,1998,2016,F-C,6-11,250.0,"April 25, 1976",Wake Forest
1215,236,Mike Dunleavy,1977,1990,G,6-3,180.0,"March 21, 1954",South Carolina
1216,237,Mike Dunleavy,2003,2017,F-G,6-9,230.0,"September 15, 1980",Duke
1217,238,Kris Dunn,2017,2023,G,6-3,205.0,"March 18, 1994",Providence
1218,239,Pat Dunn,1958,1958,G,6-2,170.0,"March 17, 1931",Utah State University
1219,240,T.R. Dunn,1978,1991,G-F,6-4,192.0,"February 1, 1955",Alabama
1220,241,Ronald Dupree,2004,2011,F,6-7,209.0,"January 26, 1981",LSU
1221,242,Kevin Durant,2008,2023,F-G,6-10,240.0,"September 29, 1988",Texas
1222,243,Jalen Duren,2023,2023,C,6-10,250.0,"November 18, 2003",Memphis
1223,244,John Duren,1981,1983,G,6-3,195.0,"October 30, 1958",Georgetown
1224,245,Jarrett Durham,1972,1972,F,6-5,188.0,"August 22, 1949",Duquesne
1225,246,Pat Durham,1993,1995,F,6-7,210.0,"March 10, 1967",Colorado State
1226,247,Devin Durrant,1985,1986,F,6-7,200.0,"October 20, 1960",BYU
1227,248,Ken Durrett,1972,1975,F,6-7,190.0,"December 8, 1948",La Salle
1228,249,Trevon Duval,2019,2019,G,6-2,189.0,"August 3, 1998",Duke
1229,250,Jack Dwan,1949,1949,F-G,6-4,200.0,"May 3, 1921",Loyola Chicago
1230,251,Craig Dykema,1982,1982,F,6-8,190.0,"June 11, 1959",Cal State Long Beach
1231,252,Gene Dyker,1954,1954,F,6-6,225.0,"February 17, 1930",DePaul
1232,253,Jerome Dyson,2012,2012,G,6-3,180.0,"May 1, 1987",UConn
1233,0,Ledell Eackles,1989,1998,G-F,6-5,220.0,"November 24, 1966",New Orleans
1234,1,Jim Eakins,1969,1978,C,6-11,215.0,"May 24, 1946",BYU
1235,2,Acie Earl,1994,1997,F-C,6-10,240.0,"June 23, 1970",Iowa
1236,3,Ed Earle,1954,1954,F,6-3,190.0,"April 28, 1927",Loyola Chicago
1237,4,Cleanthony Early,2015,2016,F,6-8,210.0,"April 17, 1991",Wichita State
1238,5,Penny Early,1969,1969,G,5-3,114.0,"May 30, 1943",
1239,6,Tari Eason,2023,2023,F,6-8,216.0,"May 10, 2001","Cincinnati, LSU"
1240,7,Mark Eaton,1983,1993,C,7-4,275.0,"January 24, 1957",UCLA
1241,8,Jerry Eaves,1983,1987,G,6-4,180.0,"February 8, 1959",Louisville
1242,9,Devin Ebanks,2011,2013,F,6-9,215.0,"October 28, 1989",West Virginia
1243,10,Bill Ebben,1958,1958,G,6-4,190.0,"October 7, 1935",Detroit Mercy
1244,11,Al Eberhard,1975,1978,F,6-6,225.0,"May 10, 1952",Missouri
1245,12,Ndudi Ebi,2004,2005,F,6-9,200.0,"June 18, 1984",
1246,13,Roy Ebron,1974,1974,C,6-9,220.0,"August 31, 1951",Louisiana
1247,14,Jaime Echenique,2022,2022,C,6-11,258.0,"April 27, 1997","Trinity Valley CC, Wichita State"
1248,15,Jarell Eddie,2016,2018,G-F,6-7,218.0,"October 30, 1991",Virginia Tech
1249,16,Patrick Eddie,1992,1992,C,6-11,240.0,"December 27, 1967","Arkansas State University, Ole Miss"
1250,17,Dike Eddleman,1950,1953,F-G,6-3,189.0,"December 27, 1922",Illinois
1251,18,Kenton Edelin,1985,1985,F,6-8,205.0,"May 24, 1962",Virginia
1252,19,Charles Edge,1974,1975,F,6-6,210.0,"February 23, 1950",LeMoyne-Owen College
1253,20,Bobby Edmonds,1968,1970,F,6-6,220.0,"March 8, 1941",Tennessee State
1254,21,Keith Edmonson,1983,1984,G,6-5,195.0,"September 28, 1960",Purdue
1255,22,Tyus Edney,1996,2001,G,5-10,152.0,"February 14, 1973",UCLA
1256,23,Anthony Edwards,2021,2023,G,6-4,225.0,"August 5, 2001",Georgia
1257,24,Bill Edwards,1994,1994,F,6-8,215.0,"September 22, 1971",Wright State University
1258,25,Blue Edwards,1990,1999,G-F,6-4,200.0,"October 31, 1965",East Carolina University
1259,26,Carsen Edwards,2020,2022,G,5-11,200.0,"March 12, 1998",Purdue
1260,27,Corsley Edwards,2005,2005,F,6-9,275.0,"March 5, 1979",Central Connecticut State University
1261,28,Doug Edwards,1994,1996,F,6-7,220.0,"January 21, 1971",Florida State
1262,29,Franklin Edwards,1982,1988,G,6-1,170.0,"February 2, 1959",Cleveland State University
1263,30,James Edwards,1978,1996,C-F,7-0,225.0,"November 22, 1955",Washington
1264,31,Jay Edwards,1990,1990,G,6-4,185.0,"January 3, 1969",Indiana
1265,32,John Edwards,2005,2006,C,7-0,275.0,"July 31, 1981",Kent State University
1266,33,Kessler Edwards,2022,2023,F,6-8,215.0,"August 9, 2000",Pepperdine
1267,34,Kevin Edwards,1989,2001,G,6-3,190.0,"October 30, 1965",DePaul
1268,35,Rob Edwards,2022,2022,G,6-5,205.0,"January 20, 1997","Cleveland State University, Arizona State"
1269,36,Shane Edwards,2014,2014,F,6-7,220.0,"May 31, 1987",Little Rock
1270,37,Vince Edwards,2019,2019,F,6-8,225.0,"April 5, 1996",Purdue
1271,38,Johnny Egan,1962,1972,G,5-11,180.0,"January 31, 1939",Providence
1272,39,Lonnie Eggleston,1949,1949,G,6-0,170.0,"June 8, 1918",Oklahoma State
1273,40,Bulbs Ehlers,1948,1949,F-G,6-3,198.0,"March 10, 1923",Purdue
1274,41,Craig Ehlo,1984,1997,G-F,6-6,180.0,"August 11, 1961","Odessa College, Washington State"
1275,42,Rich Eichhorst,1962,1962,G,6-3,200.0,"October 21, 1933",SE Missouri State
1276,43,Howard Eisley,1995,2006,G,6-2,177.0,"December 4, 1972",Boston College
1277,44,Obinna Ekezie,2000,2005,F-C,6-9,270.0,"August 22, 1975",Maryland
1278,45,Khalid El-Amin,2001,2001,G,5-10,200.0,"April 25, 1979",UConn
1279,46,Don Eliason,1947,1947,F,6-2,210.0,"July 24, 1918",Hamline University
1280,47,Mario Elie,1991,2001,G-F,6-5,210.0,"November 26, 1963",American International College
1281,48,CJ Elleby,2021,2022,F,6-6,200.0,"June 16, 2000",Washington State
1282,49,Ray Ellefson,1949,1951,C,6-8,230.0,"November 18, 1922",West Texas A&M University
1283,50,Henry Ellenson,2017,2021,F,6-10,240.0,"January 13, 1997",Marquette
1284,51,Wayne Ellington,2010,2022,G,6-4,207.0,"November 29, 1987",UNC
1285,52,Bob Elliott,1979,1981,C-F,6-9,225.0,"August 18, 1955",Arizona
1286,53,Sean Elliott,1990,2001,F,6-8,205.0,"February 2, 1968",Arizona
1287,54,Bo Ellis,1978,1980,F,6-9,197.0,"August 8, 1954",Marquette
1288,55,Boo Ellis,1959,1960,F,6-5,185.0,"February 11, 1936",Niagara University
1289,56,Dale Ellis,1984,2000,G-F,6-7,205.0,"August 6, 1960",Tennessee
1290,57,Harold Ellis,1994,1998,G,6-5,200.0,"October 7, 1970",Morehouse College
1291,58,Joe Ellis,1967,1974,F-G,6-6,175.0,"May 3, 1944",San Francisco
1292,59,Keon Ellis,2023,2023,G,6-6,175.0,"January 8, 2000","Florida SouthWestern State College, Alabama"
1293,60,LaPhonso Ellis,1993,2003,F,6-8,240.0,"May 5, 1970",Notre Dame
1294,61,LeRon Ellis,1992,1996,F-C,6-9,225.0,"April 28, 1969","Kentucky, Syracuse"
1295,62,Leroy Ellis,1963,1976,C-F,6-10,210.0,"March 10, 1940",St. John's
1296,63,Monta Ellis,2006,2017,G,6-3,185.0,"October 26, 1985",
1297,64,Pervis Ellison,1990,2001,F-C,6-9,210.0,"April 3, 1967",Louisville
1298,65,Len Elmore,1975,1984,C-F,6-9,220.0,"March 28, 1952",Maryland
1299,66,Francisco Elson,2004,2012,C,7-0,235.0,"February 28, 1976",California
1300,67,Darrell Elston,1975,1977,G,6-4,190.0,"August 15, 1952",UNC
1301,68,Melvin Ely,2003,2014,C,6-10,260.0,"May 2, 1978",Fresno State
1302,69,Joel Embiid,2017,2023,C,7-0,280.0,"March 16, 1994",Kansas
1303,70,Wayne Embry*,1959,1969,C-F,6-8,240.0,"March 26, 1937",Miami University
1304,71,Andre Emmett,2005,2012,F,6-5,230.0,"August 27, 1982",Texas Tech
1305,72,Ned Endress,1947,1947,F-G,6-2,200.0,"March 2, 1918",University of Akron
1306,73,Wayne Engelstad,1989,1989,F,6-8,245.0,"December 6, 1965","University of California, Irvine"
1307,74,Chris Engler,1983,1988,C,6-11,245.0,"March 1, 1959","Minnesota, Wyoming"
1308,75,A.J. English,1991,1992,G,6-3,175.0,"July 11, 1967",Virginia Union University
1309,76,Alex English*,1977,1991,F,6-8,190.0,"January 5, 1954",South Carolina
1310,77,Claude English,1971,1971,F,6-4,185.0,"December 26, 1946",Rhode Island
1311,78,Jo Jo English,1993,1995,G,6-4,195.0,"February 4, 1970",South Carolina
1312,79,Kim English,2013,2013,G,6-6,200.0,"September 24, 1988",Missouri
1313,80,Scott English,1973,1975,F,6-6,205.0,"October 20, 1950",Texas-El Paso
1314,81,Gene Englund,1950,1950,F-C,6-5,205.0,"October 21, 1917",Wisconsin
1315,82,James Ennis III,2015,2022,F,6-6,215.0,"July 1, 1990",Cal State Long Beach
1316,83,Tyler Ennis,2015,2018,G,6-3,194.0,"August 24, 1994",Syracuse
1317,84,Ray Epps,1979,1979,F,6-6,195.0,"August 20, 1956",Norfolk State
1318,85,Semih Erden,2011,2012,C,7-0,240.0,"July 28, 1986",
1319,86,Bo Erias,1958,1958,F,6-3,220.0,"July 30, 1932",Niagara University
1320,87,Keith Erickson,1966,1977,F-G,6-5,195.0,"April 19, 1944",UCLA
1321,88,Julius Erving*,1972,1987,F-G,6-7,210.0,"February 22, 1950",UMass
1322,89,Evan Eschmeyer,2000,2003,C,6-11,255.0,"May 30, 1975",Northwestern
1323,90,Jack Eskridge,1949,1949,C-F,6-5,200.0,"January 21, 1924",Kansas
1324,91,Vincenzo Esposito,1996,1996,G,6-3,198.0,"March 1, 1969",
1325,92,Drew Eubanks,2019,2023,F,6-9,245.0,"February 1, 1997",Oregon State
1326,93,Billy Evans,1970,1970,G,6-0,170.0,"March 3, 1947",Boston College
1327,94,Bob Evans,1950,1950,G,6-2,175.0,"May 31, 1925",Butler
1328,95,Brian Evans,1997,1999,F,6-8,220.0,"September 13, 1973",Indiana
1329,96,Earl Evans,1980,1980,F,6-8,202.0,"November 11, 1955","USC, UNLV"
1330,97,Jacob Evans,2019,2020,G-F,6-4,210.0,"June 18, 1997",Cincinnati
1331,98,Jawun Evans,2018,2019,G,6-0,185.0,"July 26, 1996",Oklahoma State
1332,99,Jeremy Evans,2011,2018,F,6-9,200.0,"October 24, 1987",Western Kentucky
1333,100,Maurice Evans,2002,2012,G,6-5,220.0,"November 8, 1978","Wichita State, Texas"
1334,101,Mike Evans,1980,1988,G,6-1,170.0,"April 19, 1955",Kansas State
1335,102,Reggie Evans,2003,2015,F,6-8,245.0,"May 18, 1980",Iowa
1336,103,Tyreke Evans,2010,2019,G-F,6-6,220.0,"September 19, 1989",Memphis
1337,104,Daniel Ewing,2006,2007,G,6-3,185.0,"March 26, 1983",Duke
1338,105,Patrick Ewing*,1986,2002,C-F,7-0,240.0,"August 5, 1962",Georgetown
1339,106,Patrick Ewing,2011,2011,F,6-8,235.0,"May 20, 1984","Indiana, Georgetown"
1340,107,Dante Exum,2015,2021,G,6-5,214.0,"July 13, 1995",
1341,108,Christian Eyenga,2011,2012,F,6-5,210.0,"June 22, 1989",
1342,109,Festus Ezeli,2013,2016,C,6-11,255.0,"October 21, 1989",Vanderbilt
1343,110,Johnny Ezersky,1948,1950,F-G,6-3,175.0,"March 21, 1922",Rhode Island
1344,0,Joe Fabel,1947,1947,F-G,6-1,190.0,"May 15, 1917",Pitt
1345,1,John Fairchild,1966,1970,F,6-8,205.0,"April 28, 1943","Palomar College, BYU"
1346,2,Tacko Fall,2020,2022,C,7-6,311.0,"December 10, 1995",Central Florida
1347,3,Phil Farbman,1949,1949,F,6-1,185.0,"April 3, 1924",City College of New York
1348,4,Kenneth Faried,2012,2019,F-C,6-8,220.0,"November 19, 1989",Morehead State University
1349,5,Dick Farley,1955,1959,G-F,6-4,190.0,"April 13, 1932",Indiana
1350,6,Jordan Farmar,2007,2017,G,6-2,180.0,"November 30, 1986",UCLA
1351,7,Desmon Farmer,2007,2009,G,6-5,220.0,"October 7, 1981",USC
1352,8,Jim Farmer,1988,1994,G,6-4,190.0,"September 23, 1964",Alabama
1353,9,Mike Farmer,1959,1966,F,6-7,210.0,"September 26, 1936",San Francisco
1354,10,Tony Farmer,1998,2000,F,6-9,244.0,"January 3, 1970","San Jose State, Nebraska"
1355,11,Bob Faught,1947,1947,F,6-5,185.0,"September 2, 1921",Notre Dame
1356,12,Vítor Luiz Faverani,2014,2014,C,6-11,260.0,"May 5, 1988",
1357,13,Derrick Favors,2011,2022,F-C,6-9,265.0,"July 15, 1991",Georgia Tech
1358,14,Nick Fazekas,2008,2008,F,6-11,235.0,"June 17, 1985",Nevada
